overlay_borrow_ratio,hyper_borrow_ratio,hyper_short_leverage,funding_weight,borrow_weight,start_equity,end_equity,total_pnl,total_return,annualized_return,funding_pnl,borrow_interest,gross_carry_pnl,setup_cost,close_cost,operation_cost,net_carry_pnl,directional_pnl,max_drawdown,annualized_vol,sharpe,funding_events,min_ltv,max_ltv,min_health_factor,carry_entries,carry_exits,carry_time_share,spot_time_share,long_perp_time_share,short_perp_time_share,edge_apr_mean,edge_apr_median,edge_apr_q75,edge_apr_positive_share
0.45,0.4,4.0,1.6,0.8500000000000001,9575599.0,10194344.837300174,618745.8373001739,0.06461693282061769,0.06461693282061765,703431.8230553827,328350.9275710551,375080.89548432763,106476.64527500003,253550.16434999998,360026.809625,15054.085859327635,243664.9418158463,-0.1628100489213672,0.2391384047333345,0.38150513240237666,1095,0.0,0.809867622825304,0.9878157583447035,26,26,0.7177262869535441,0.2822737130464559,0.0,0.7177262869535441,0.02823312816550834,0.028855507511008092,0.061405747476094376,0.7409776153494746
0.25,0.4,3.75,1.5,0.65,9575599.0,10166862.43541265,591263.4354126509,0.06174688762683681,0.06174688762683678,684446.6406799147,270844.1115767211,413602.52910319366,54101.86340000001,143291.14099999997,197393.00439999998,216209.5247031937,177660.90630945726,-0.18138622855588415,0.23102297550684392,0.3748324474877313,1095,0.0,0.7639906859428155,1.0471331846313632,18,18,0.782559068599475,0.21744093140052506,0.0,0.782559068599475,0.034028868085100875,0.034993765164189054,0.06472069023100914,0.7907720420283234
0.2,0.45,3.0,1.35,0.65,9575599.0,10143527.843390897,567928.8433908969,0.059310006965715346,0.05931000696571531,604876.8582494038,261715.8838343841,343160.9744150197,54595.09835,127921.367475,182516.46582500002,160644.50859001966,224767.86897587724,-0.15809739602542294,0.23255073070304005,0.364123378299736,1095,0.0,0.7814034442270528,1.023798917077135,18,18,0.748772971122018,0.251227028877982,0.0,0.748772971122018,0.02728014176717195,0.027492731284091118,0.055164090397733886,0.7729556875285518
0.3,0.4,3.5,1.4000000000000001,0.7,9575599.0,10135090.836494,559491.8364940006,0.05842891254051059,0.058428912540510636,625467.7945861367,280560.6716079803,344907.12297815643,56474.88525,134525.09615000003,190999.98140000002,153907.1415781564,214584.7135158442,-0.14248883129588974,0.2285627841673829,0.36281823844538236,1095,0.0,0.7615733798372808,1.0504568846286744,17,17,0.744207282273713,0.255792717726287,0.0,0.744207282273713,0.026955994506928645,0.02747360766491865,0.05576211321453216,0.7665600730927364
0.2,0.4,3.75,1.5,0.6000000000000001,9575599.0,10103319.212995958,527720.2129959576,0.055110934887306534,0.05511093488730645,686283.433342885,252662.17781070253,433621.25553218246,50557.1667,135619.8868,186177.0535,247444.20203218245,94098.95746377512,-0.2000052207399151,0.24259429073232344,0.34240593690482124,1095,0.0,0.7604037770106774,1.0520726279727128,19,18,0.7912338774112544,0.20876612258874558,0.0,0.7912338774112544,0.03660259078465383,0.037467351569930266,0.06746451316516563,0.8044769301050708
0.65,0.45,3.75,1.6875,1.1,9575599.0,10097399.17809499,521800.17809499055,0.05449269315632271,0.05449269315632277,688297.1547135909,377296.1533722901,311001.0013413008,159850.34945000004,335468.59506875003,495318.94451875007,-184317.94317744928,210799.17675368977,-0.1893953400609104,0.26423744283060696,0.3330658798681728,1095,0.0,0.8035414978598749,0.9955926385017985,29,29,0.6373701632233764,0.3626298367766237,0.0,0.6373701632233764,0.01930127168653543,0.019583854622088878,0.0547758415750946,0.6578346276838739
0.35,0.4,4.0,1.6,0.75,9575599.0,10096673.85370595,521074.8537059501,0.05441694600055308,0.054416946000553024,725352.5381410548,308630.924269191,416721.6138718638,79692.37275000002,204567.4839,284259.85665000003,132461.75722186378,104353.23983408627,-0.19692483384340775,0.24334301609675277,0.339504910124917,1095,0.0,0.8060137893548032,0.9925388505330448,23,23,0.767035726515238,0.232964273484762,0.0,0.767035726515238,0.033380573564614255,0.03369545481849587,0.06628931249217063,0.7770671539515761
0.2,0.4,3.5,1.4000000000000001,0.6000000000000001,9575599.0,10075872.980168719,500273.98016871884,0.052244666904777325,0.05224466690477736,638786.619825447,250214.66973974678,388571.9500857002,49940.1816,130972.4392,180912.6208,207659.3292857002,111702.03008301865,-0.17139788211837315,0.2230617658215024,0.3398145523255887,1095,0.0,0.730486466632456,1.0951606039849056,18,18,0.783472206369136,0.21652779363086405,0.0,0.783472206369136,0.03210343990603456,0.03299419512687564,0.06069997303375203,0.7935130196436729
0.25,0.4,3.25,1.3,0.65,9575599.0,10068915.918791775,493316.91879177466,0.05151812631165681,0.051518126311656864,581029.5509650698,260276.9075898166,320752.6433752532,52480.35845000001,122655.234725,175135.59317500002,145617.05020025317,172564.27541652147,-0.1457649630829171,0.2268903370659327,0.33494742380848297,1095,0.0,0.7283918725330832,1.0983098935712856,17,17,0.7432941445040521,0.25670585549594793,0.0,0.7432941445040521,0.0250305663278623,0.025511207117424453,0.051779105127779855,0.7665600730927364
0.4,0.45,3.5,1.575,0.8500000000000001,9575599.0,10039600.528330434,464001.5283304341,0.048456658255053714,0.04845665825505363,687883.3640239808,325458.71806851454,362424.64595546626,114407.20477500002,262782.90412499994,377190.1089,-14765.462944533734,101576.88237496786,-0.20878483006896775,0.24856729295464877,0.31477286373234065,1095,0.0,0.7667083716978562,1.0434215009657717,28,28,0.7140737358749001,0.28592626412509986,0.0,0.7140737358749001,0.0271083404458535,0.02779588209434141,0.05970264550077086,0.7327546825034262
